0;0;200;400;600;800;1000;800;600;400;200;0
0.005;0;200;400;600;800;950;800;600;400;200;0
0.01;0;200;400;600;793.75;912.5;793.75;600;400;200;0
0.015;0;200;400;599.219;784.375;882.812;784.375;599.219;400;200;0
0.02;0;200;399.902;597.461;773.535;858.203;773.535;597.461;399.902;200;0
0.025;0;199.988;399.609;594.775;762.109;837.036;762.109;594.775;399.609;199.988;0
0.03;0;199.942;399.052;591.296;750.558;818.304;750.558;591.296;399.052;199.942;0
0.035;0;199.838;398.194;587.174;739.119;801.368;739.119;587.174;398.194;199.838;0
0.04;0;199.653;397.022;582.544;727.907;785.806;727.907;582.544;397.022;199.653;0
0.045;0;199.367;395.541;577.524;716.974;771.331;716.974;577.524;395.541;199.367;0
0.05;0;198.968;393.767;572.208;706.337;757.742;706.337;572.208;393.767;198.968;0
0.055;0;198.447;391.723;566.669;695.997;744.891;695.997;566.669;391.723;198.447;0
0.06;0;197.801;389.431;560.967;685.942;732.667;685.942;560.967;389.431;197.801;0
0.065;0;197.029;386.919;555.147;676.161;720.986;676.161;555.147;386.919;197.029;0
0.07;0;196.137;384.212;549.245;666.637;709.78;666.637;549.245;384.212;196.137;0
0.075;0;195.129;381.331;543.29;657.356;698.994;657.356;543.29;381.331;195.129;0
0.08;0;194.013;378.301;537.303;648.303;688.585;648.303;537.303;378.301;194.013;0
0.085;0;192.798;375.14;531.303;639.463;678.514;639.463;531.303;375.14;192.798;0
0.09;0;191.491;371.868;525.303;630.824;668.751;630.824;525.303;371.868;191.491;0
0.095;0;190.102;368.5;519.314;622.375;659.27;622.375;519.314;368.5;190.102;0
0.1;0;188.639;365.052;513.345;614.104;650.046;614.104;513.345;365.052;188.639;0
0.105;0;187.11;361.537;507.403;606.002;641.061;606.002;507.403;361.537;187.11;0
0.11;0;185.525;357.967;501.495;598.059;632.296;598.059;501.495;357.967;185.525;0
0.115;0;183.89;354.353;495.624;590.268;623.737;590.268;495.624;354.353;183.89;0
0.12;0;182.211;350.704;489.796;582.621;615.37;582.621;489.796;350.704;182.211;0
0.125;0;180.496;347.029;484.012;575.112;607.183;575.112;484.012;347.029;180.496;0
0.13;0;178.751;343.335;478.277;567.733;599.165;567.733;478.277;343.335;178.751;0
0.135;0;176.98;339.63;472.591;560.48;591.307;560.48;472.591;339.63;176.98;0
0.14;0;175.189;335.919;466.957;553.347;583.6;553.347;466.957;335.919;175.189;0
0.145;0;173.381;332.207;461.376;546.33;576.037;546.33;461.376;332.207;173.381;0
0.15;0;171.562;328.5;455.849;539.424;568.61;539.424;455.849;328.5;171.562;0
0.155;0;169.734;324.801;450.377;532.626;561.314;532.626;450.377;324.801;169.734;0
0.16;0;167.901;321.115;444.961;525.931;554.142;525.931;444.961;321.115;167.901;0
0.165;0;166.065;317.444;439.602;519.336;547.089;519.336;439.602;317.444;166.065;0
0.17;0;164.229;313.791;434.299;512.838;540.151;512.838;434.299;313.791;164.229;0
0.175;0;162.396;310.16;429.053;506.435;533.323;506.435;429.053;310.16;162.396;0
0.18;0;160.567;306.551;423.864;500.123;526.601;500.123;423.864;306.551;160.567;0
0.185;0;158.744;302.967;418.732;493.9;519.981;493.9;418.732;302.967;158.744;0
0.19;0;156.929;299.41;413.658;487.764;513.461;487.764;413.658;299.41;156.929;0
0.195;0;155.123;295.881;408.64;481.713;507.037;481.713;408.64;295.881;155.123;0
0.2;0;153.327;292.381;403.679;475.744;500.706;475.744;403.679;292.381;153.327;0
